imo,type,number,start,end,Deadweight,ShiptypeLevel5,typnum,vessel_class,time_in,trip_number
9734111.0,anchorage,1,2021-02-14 13:55:45,2021-02-14 14:05:57,299999.0,Crude Oil Tanker,anchorage3,VLCC,0 days 00:10:12,2
9734111.0,berth,5,2021-02-14 14:46:25,2021-02-15 18:17:45,299999.0,Crude Oil Tanker,berth5,VLCC,1 days 03:31:20,2
9727027.0,berth,2,2021-02-15 15:42:31,2021-02-17 09:44:56,300973.0,Crude Oil Tanker,berth2,VLCC,1 days 18:02:25,1
9703332.0,berth,1,2021-02-18 22:38:14,2021-02-19 21:00:38,109900.0,Crude/Oil Products Tanker,berth1,Aframax,0 days 22:22:24,1
9407445.0,berth,3,2021-02-18 23:11:54,2021-02-19 20:17:06,112922.0,Crude Oil Tanker,berth3,Aframax,0 days 21:05:12,1
9847114.0,berth,2,2021-02-19 18:36:48,2021-02-20 21:14:14,149999.0,Crude Oil Tanker,berth2,Suezmax,1 days 02:37:26,1
9724350.0,berth,3,2021-02-21 02:13:45,2021-02-21 23:45:33,112939.0,Crude Oil Tanker,berth3,Aframax,0 days 21:31:48,4
9795074.0,anchorage,1,2021-02-21 08:50:13,2021-02-21 09:50:12,113049.0,Crude Oil Tanker,anchorage7,Aframax,0 days 00:59:59,3.0
9795074.0,berth,1,2021-02-21 10:30:03,2021-02-22 07:57:30,113049.0,Crude Oil Tanker,berth1,Aframax,0 days 21:27:27,3.0
9737383.0,berth,4,2021-02-21 14:08:51,2021-02-23 08:04:00,112949.0,Crude Oil Tanker,berth4,Aframax,1 days 17:55:09,4
9285213.0,anchorage,1,2021-02-21 17:07:07,2021-02-21 17:17:59,4447.0,Chemical/Products Tanker,anchorage6,Sub Handysize,0 days 00:10:52,
9365752.0,anchorage,1,2021-02-24 08:16:15,2021-02-24 09:40:06,319994.0,Crude Oil Tanker,anchorage6,VLCC,0 days 01:23:51,1.0
9365752.0,berth,2,2021-02-24 10:41:15,2021-02-26 09:03:37,319994.0,Crude Oil Tanker,berth2,VLCC,1 days 22:22:22,1.0
9341093.0,berth,4,2021-02-24 12:51:02,2021-02-25 10:16:20,109716.0,Crude Oil Tanker,berth4,Aframax,0 days 21:25:18,1
9316024.0,anchorage,1,2021-02-24 22:38:00,2021-02-24 23:41:08,3502.0,Chemical/Products Tanker,anchorage4,Sub Handysize,0 days 01:03:08,
9737395.0,berth,4,2021-02-25 14:52:38,2021-02-27 10:26:02,113004.0,Crude Oil Tanker,berth4,Aframax,1 days 19:33:24,3
9310525.0,berth,3,2021-02-25 20:02:08,2021-02-27 10:54:15,115338.0,Crude Oil Tanker,berth3,Aframax,1 days 14:52:07,1
9365752.0,anchorage,1,2021-02-26 09:55:10,2021-02-26 09:55:17,319994.0,Crude Oil Tanker,anchorage10,VLCC,0 days 00:00:07,
9333400.0,berth,2,2021-02-26 12:44:53,2021-02-28 14:17:23,47125.0,Products Tanker,berth2,Handysize,2 days 01:32:30,1
9232840.0,anchorage,1,2021-02-26 14:17:05,2021-02-26 14:22:44,7082.0,Chemical/Products Tanker,anchorage6,Sub Handysize,0 days 00:05:39,
9783019.0,anchorage,1,2021-02-27 11:16:33,2021-02-27 11:37:43,112052.0,Crude Oil Tanker,anchorage13,Aframax,0 days 00:21:10,1
9783019.0,berth,1,2021-02-27 15:23:32,2021-02-28 14:52:18,112052.0,Crude Oil Tanker,berth1,Aframax,0 days 23:28:46,1
9779965.0,berth,3,2021-02-28 18:01:51,2021-03-02 07:06:13,113563.0,Crude Oil Tanker,berth3,Aframax,1 days 13:04:22,2
9437983.0,berth,1,2021-03-01 15:06:56,2021-03-03 07:23:24,109005.0,Crude Oil Tanker,berth1,Aframax,1 days 16:16:28,1
9724350.0,berth,4,2021-03-02 10:12:15,2021-03-03 12:24:15,112939.0,Crude Oil Tanker,berth4,Aframax,1 days 02:12:00,5
9792266.0,berth,2,2021-03-02 15:41:02,2021-03-04 09:46:15,300852.0,Crude Oil Tanker,berth2,VLCC,1 days 18:05:13,1
9306794.0,berth,3,2021-03-03 09:32:17,2021-03-04 04:11:08,109987.0,Crude Oil Tanker,berth3,Aframax,0 days 18:38:51,1
9394935.0,berth,1,2021-03-04 06:52:51,2021-03-05 08:51:46,112969.0,Crude Oil Tanker,berth1,Aframax,1 days 01:58:55,1
9795074.0,anchorage,1,2021-03-05 14:35:24,2021-03-05 15:01:16,113049.0,Crude Oil Tanker,anchorage10,Aframax,0 days 00:25:52,4.0
9795074.0,berth,3,2021-03-05 15:47:25,2021-03-06 10:47:09,113049.0,Crude Oil Tanker,berth3,Aframax,0 days 18:59:44,4.0
9299719.0,berth,3,2021-03-06 23:48:19,2021-03-07 17:42:00,110043.0,Crude Oil Tanker,berth3,Aframax,0 days 17:53:41,1
9271884.0,anchorage,1,2021-03-07 06:58:53,2021-03-08 21:41:52,17653.0,Chemical/Products Tanker,anchorage6,Sub Handysize,1 days 14:42:59,
9339301.0,berth,1,2021-03-07 18:59:41,2021-03-08 16:34:56,115857.0,Crude Oil Tanker,berth1,Aframax,0 days 21:35:15,1
9341093.0,berth,4,2021-03-07 22:36:59,2021-03-08 20:02:16,109716.0,Crude Oil Tanker,berth4,Aframax,0 days 21:25:17,2
9730086.0,berth,2,2021-03-08 01:05:39,2021-03-09 17:05:52,297363.0,Crude Oil Tanker,berth2,VLCC,1 days 16:00:13,1
