imo,typnum,visit_num,start,end,Deadweight,ShiptypeLevel5,type,number,time_difference,port_name
9676137.0,berth2,0,2022-08-23 00:05:06,2022-08-24 11:55:52,120567.0,Shuttle Tanker,berth,2,1 days 11:50:46,MONGSTAD
9676137.0,berth2,1,2022-10-13 13:46:21,2022-10-14 19:22:51,120567.0,Shuttle Tanker,berth,2,1 days 05:36:30,MONGSTAD
9676137.0,berth2,2,2022-10-21 21:36:46,2022-10-22 18:36:52,120567.0,Shuttle Tanker,berth,2,0 days 21:00:06,MONGSTAD
9893060.0,berth3,0,2022-06-18 13:42:51,2022-06-19 07:34:30,113306.0,Crude/Oil Products Tanker,berth,3,0 days 17:51:39,MONGSTAD
9773040.0,berth1,0,2022-11-21 13:03:53,2022-11-22 23:22:37,114456.0,Crude Oil Tanker,berth,1,1 days 10:18:44,MONGSTAD
9833113.0,berth1,0,2022-09-03 07:00:11,2022-09-04 08:15:55,128427.0,Shuttle Tanker,berth,1,1 days 01:15:44,MONGSTAD
9325908.0,berth2,0,2022-07-12 22:12:51,2022-07-14 08:27:54,115091.0,Crude Oil Tanker,berth,2,1 days 10:15:03,MONGSTAD
9893058.0,berth3,0,2022-09-13 02:51:13,2022-09-14 03:33:05,113306.0,Crude/Oil Products Tanker,berth,3,1 days 00:41:52,MONGSTAD
9305611.0,berth4,0,2022-10-02 11:25:07,2022-10-03 11:17:30,117055.0,Crude/Oil Products Tanker,berth,4,0 days 23:52:23,MONGSTAD
9320714.0,berth3,0,2022-06-13 08:25:04,2022-06-14 19:07:16,166468.0,Crude Oil Tanker,berth,3,1 days 10:42:12,MONGSTAD
9422550.0,berth1,0,2022-11-30 09:27:12,2022-12-01 04:15:00,115617.0,Crude/Oil Products Tanker,berth,1,0 days 18:47:48,MONGSTAD
9427641.0,berth1,0,2022-06-01 00:40:31,2022-06-02 13:57:12,149999.0,Crude Oil Tanker,berth,1,1 days 13:16:41,MONGSTAD
9892444.0,berth1,0,2022-07-19 22:08:29,2022-07-21 02:05:25,112459.0,Crude Oil Tanker,berth,1,1 days 03:56:56,MONGSTAD
9649225.0,berth2,0,2022-08-18 10:18:11,2022-08-19 11:41:01,111634.0,Shuttle Tanker,berth,2,1 days 01:22:50,MONGSTAD
9389100.0,berth3,0,2022-11-30 17:07:34,2022-12-01 22:28:07,106969.0,Crude/Oil Products Tanker,berth,3,1 days 05:20:33,MONGSTAD
9399480.0,berth3,0,2022-10-07 15:38:32,2022-10-08 14:58:52,156719.0,Crude Oil Tanker,berth,3,0 days 23:20:20,MONGSTAD
9891672.0,berth3,0,2022-12-12 22:32:20,2022-12-13 16:22:35,116120.0,Crude Oil Tanker,berth,3,0 days 17:50:15,MONGSTAD
9724350.0,berth1,0,2022-08-31 02:38:26,2022-09-01 04:02:28,112939.0,Crude Oil Tanker,berth,1,1 days 01:24:02,MONGSTAD
9724350.0,berth1,1,2022-09-12 07:36:26,2022-09-13 09:15:26,112939.0,Crude Oil Tanker,berth,1,1 days 01:39:00,MONGSTAD
9791004.0,berth2,0,2022-06-21 10:54:58,2022-06-22 16:35:20,109898.0,Crude/Oil Products Tanker,berth,2,1 days 05:40:22,MONGSTAD
9334753.0,berth3,0,2022-06-03 06:51:13,2022-06-08 21:27:27,824.0,Tug,berth,3,5 days 14:36:14,MONGSTAD
9334753.0,berth3,2,2022-07-13 21:16:38,2022-07-15 23:13:41,824.0,Tug,berth,3,2 days 01:57:03,MONGSTAD
9334753.0,berth3,7,2022-10-19 10:33:17,2022-10-22 06:06:23,824.0,Tug,berth,3,2 days 19:33:06,MONGSTAD
9334753.0,berth3,10,2022-11-15 12:07:12,2022-11-17 11:34:16,824.0,Tug,berth,3,1 days 23:27:04,MONGSTAD
9737383.0,berth1,0,2022-07-08 14:53:27,2022-07-09 11:15:46,112949.0,Crude Oil Tanker,berth,1,0 days 20:22:19,MONGSTAD
9737383.0,berth1,1,2022-08-04 05:04:20,2022-08-05 01:29:15,112949.0,Crude Oil Tanker,berth,1,0 days 20:24:55,MONGSTAD
9737383.0,berth1,2,2022-08-15 22:08:14,2022-08-17 07:28:49,112949.0,Crude Oil Tanker,berth,1,1 days 09:20:35,MONGSTAD
9687502.0,berth2,0,2022-06-03 22:11:27,2022-06-05 17:21:02,29461.0,LPG Tanker,berth,2,1 days 19:09:35,MONGSTAD
9889954.0,berth3,0,2022-10-22 06:15:47,2022-10-24 00:42:43,156921.0,Crude Oil Tanker,berth,3,1 days 18:26:56,MONGSTAD
